icon.p  ●  // 注：命令行里每个角色形状都一样，改gui就要增加每个角色还有朝向还有步行帧，都不一样
icon.f.lv0  □
icon.f.lv1  １
icon.f.lv2  ２
icon.f.lv3  ３
icon.f.lv4  ４
icon.f.lv5  ５
icon.f.lv6  ６
icon.bank   银
icon.coupon 券
icon.news   新
icon.lottery    彩
icon.empty  空
icon.itemShop   道
icon.item   卡
icon.barrier	▲

ui.cursor   > 

log.dice	骰子的点数为%d
log.lackCash	你的现金不足！
log.lackDeposit	你的存款不足！
log.lackCoupon	你的点券不足！
log.lackItem	你当前没有卡片！
log.lackStock	你持有的股票不足！
log.invalidItem	当前无法使用此卡片！
log.maxLevel	土地等级已到最高！
log.fine	需支付过路费%d
log.gg	%s破产！
log.win	%s最终胜利！
log.gain	%s获得了%d%s!
log.lotteryWin	恭喜中奖！获得奖金5000
log.lotteryLose	很遗憾，你没有中奖
log.addDeposit	月末发放10%%储金利息！
log.stockClose	股市休市中...

menu.fieldBuy	街道：%s$n价格：%d$n$s购买$n$s取消
menu.fieldUp	街道：%s$n升级价格：%d$n$s升级$n$s取消
menu.lottery	输入1-10的数字以购买彩票（需要现金100）；输入其他数字以取消$n请输入：
menu.bank   $s存款$n$s取款$n$s取消
menu.bankPrompt	请输入金额：
menu.itemPrompt	请选择：
menu.return	$s返回
menu.diceControl	请选择：$n$s1$n$s2$n$s3$n$s4$n$s5$n$s6$n$s取消
menu.barrierSet	输入-8~8的数字以放置路障；输入其他数字以取消$n请输入：
menu.stockPrompt	请输入操作的数量，正数表示买入，负数表示卖出，0以取消：
menu.cellMessage	%s$n输入数字以查看指定格子的信息，0以返回：
menu.main   现在是%s的回合$n$s查看原始地图$n$s查看指定步数具体信息$n$s使用道具$n$s进入股市$n$s掷骰子$n$s认输

vocab.cash  现金
vocab.deposit   存款
vocab.coupon    点券
vocab.stock	股票
vocab.bank	银行
vocab.couponAdd	赠送点券点
vocab.empty	空地
vocab.itemAdd	赠送道具点
vocab.itemShop	道具店
vocab.lottery	彩票点
vocab.news	新闻点
vocab.sellable.name	名字
vocab.sellable.price	单价
vocab.sellable.description	描述
vocab.sellable.change	涨幅
vocab.sellable.num	持有量
vocab.fieldsValue   房产
vocab.totalValue    总资产
vocab.street.0	日月西路
vocab.street.1	相伯路
vocab.street.2	博学北路
vocab.street.3	日月东路
vocab.street.4	博学南路
vocab.street.5	望道路
vocab.street.6	光华大道
vocab.street.7	国权路
vocab.street.8	国定路
vocab.cancel	取消
vocab.return	返回

news.prizeMaxFields	新闻：公开表扬第一地主%s奖励%d
news.prizeMinFields	新闻：公开补助土地最少者%s，%d
news.getDeposit	新闻：银行加发储金红利10%%
news.loseDeposit	新闻：存款缴纳财产税10%%
news.getRandomCard	新闻：每个人得到一张卡片
